Order_ID,Date,Product_ID,Supplier_ID,Region_ID,Order_Quantity,Unit_Cost,Shipping_Cost,Delivery_Days,Total_Product_Cost,Total_Order_Cost
100001,2024-05-12,P0003,S015,R1,4,68.84,35.63,10,275.36,310.99
100002,2023-05-22,P0146,S008,R4,16,122.59,44.45,13,1961.44,2005.89
100003,2023-08-01,P0026,S006,R1,50,54.22,33.09,2,2711.0,2744.09
100004,2024-09-20,P0103,S014,R3,70,208.02,112.34,6,14561.400000000001,14673.740000000002
100005,2024-10-08,P0117,S008,R2,45,257.62,34.65,12,11592.9,11627.55
100006,2024-12-18,P0095,S012,R2,78,168.09,132.59,13,13111.02,13243.61
100007,2024-11-27,P0019,S017,R4,8,54.01,67.5,6,432.08,499.58
100008,2024-06-20,P0113,S008,R4,117,249.43,53.62,1,29183.31,29236.93
100009,2023-05-18,P0182,S018,R2,22,299.96,20.12,9,6599.12,6619.24
100010,2024-03-26,P0052,S004,R1,95,201.72,94.02,5,19163.4,19257.420000000002
100011,2023-07-19,P0136,S014,R4,132,227.98,77.13,5,30093.359999999997,30170.489999999998
100012,2023-11-22,P0137,S017,R3,26,87.47,32.83,2,2274.22,2307.0499999999997
100013,2024-02-25,P0111,S005,R3,171,263.53,86.2,5,45063.63,45149.829999999994
100014,2023-01-22,P0128,S013,R2,127,136.58,54.77,4,17345.66,17400.43
100015,2023-10-24,P0046,S001,R2,40,265.06,111.28,7,10602.4,10713.68
100016,2023-03-19,P0042,S018,R1,166,35.13,122.43,9,5831.580000000001,5954.010000000001
100017,2023-08-08,P0061,S009,R3,185,184.94,130.34,8,34213.9,34344.24
100018,2024-11-20,P0027,S013,R1,84,216.72,43.67,5,18204.48,18248.149999999998
100019,2024-01-05,P0171,S019,R1,68,34.87,40.78,12,2371.16,2411.94
100020,2023-10-31,P0067,S014,R2,118,135.14,25.46,9,15946.519999999999,15971.979999999998
100021,2024-04-06,P0070,S004,R4,187,118.16,114.1,1,22095.92,22210.019999999997
100022,2024-02-29,P0188,S008,R3,92,17.45,86.56,8,1605.3999999999999,1691.9599999999998
100023,2024-04-07,P0127,S004,R3,64,70.28,56.19,9,4497.92,4554.11
100024,2024-07-11,P0094,S014,R1,172,256.35,72.4,14,44092.200000000004,44164.600000000006
100025,2024-10-18,P0067,S011,R1,15,22.4,111.24,14,336.0,447.24
100026,2023-08-23,P0132,S019,R1,122,258.43,123.87,12,31528.46,31652.329999999998
100027,2024-07-11,P0141,S015,R2,71,49.39,20.66,13,3506.69,3527.35
100028,2024-03-27,P0109,S003,R4,19,129.41,33.38,13,2458.79,2492.17
100029,2023-11-19,P0044,S007,R2,79,222.33,129.8,12,17564.07,17693.87
100030,2023-10-30,P0150,S008,R1,198,136.78,144.26,7,27082.44,27226.699999999997
100031,2024-01-20,P0152,S005,R2,196,274.82,90.14,11,53864.72,53954.86
100032,2024-02-18,P0113,S001,R4,101,82.84,83.24,13,8366.84,8450.08
100033,2023-03-05,P0100,S015,R4,138,214.47,20.42,14,29596.86,29617.28
100034,2024-07-01,P0086,S019,R3,124,295.69,54.23,7,36665.56,36719.79
100035,2024-04-22,P0039,S007,R4,195,57.18,104.8,10,11150.1,11254.9
100036,2024-06-29,P0186,S003,R3,64,10.21,54.2,2,653.44,707.6400000000001
100037,2024-10-04,P0012,S001,R3,118,138.73,57.47,11,16370.14,16427.61
100038,2024-04-13,P0009,S015,R2,161,268.74,76.26,3,43267.14,43343.4
100039,2024-08-18,P0013,S018,R2,175,69.76,106.93,12,12208.0,12314.93
100040,2023-02-18,P0060,S001,R1,43,55.68,90.94,7,2394.24,2485.18
100041,2023-10-16,P0003,S017,R2,117,82.77,86.66,4,9684.09,9770.75
100042,2023-09-11,P0038,S009,R3,136,20.3,28.76,7,2760.8,2789.5600000000004
100043,2024-10-30,P0015,S004,R4,10,278.85,131.77,14,2788.5,2920.27
100044,2023-02-25,P0001,S014,R1,89,288.03,114.77,12,25634.67,25749.44
100045,2024-12-23,P0071,S001,R4,197,91.32,72.94,14,17990.039999999997,18062.979999999996
100046,2023-10-15,P0027,S013,R3,141,214.64,125.04,7,30264.239999999998,30389.28
100047,2023-01-29,P0189,S006,R3,87,144.39,90.81,11,12561.929999999998,12652.739999999998
